Rank,Names,Age,Worth,Work Industry,Company Name,State,City,Country,Organization,Self Made,Gender,Date of Birth,Title,Age Group,Population,Normalised,Area
1,Elon Musk,50,2.19E+11,Automotive,Tesla,Texas,Austin,United States,Tesla,TRUE,Male,28/06/1971,CEO,Middle Aged Adult,"29,527,941",7416.7,"268,596.46"
2,Jeff Bezos,58,1.71E+11,Technology,Amazon,Washington,Seattle,United States,Amazon,TRUE,Male,12/01/1964,Entrepreneur,Middle Aged Adult,"7,738,692",22096.76,"71,297.95"
4,Bill Gates,66,1.29E+11,Technology,Microsoft,Washington,Medina,United States,Bill & Melinda Gates Foundation,TRUE,Male,28/10/1955,Cofounder,Old,"7,738,692",16669.48,"71,297.95"
5,Warren Buffett,91,1.18E+11,Finance & Investments,Berkshire Hathaway,Nebraska,Omaha,United States,Berkshire Hathaway,TRUE,Male,30/08/1930,CEO,Old,"1,963,692",60090.89,"77,347.81"
6,Larry Page,49,1.11E+11,Technology,Google,California,Palo Alto,United States,Alphabet,TRUE,Male,26/03/1973,Entrepreneur,Middle Aged Adult,"39,237,836",2828.9,"163,694.74"
7,Sergey Brin,48,1.07E+11,Technology,Google,California,Los Altos,United States,Alphabet,TRUE,Male,21/08/1973,Board Member,Middle Aged Adult,"39,237,836",2726.96,"163,694.74"
8,Larry Ellison,77,1.06E+11,Technology,Software,Hawaii,Lanai,United States,Oracle,TRUE,Male,17/08/1944,Founder,Old,"1,441,553",73531.81,"10,931.72"
9,Steve Ballmer,66,91400000000,Technology,Microsoft,Washington,Hunts Point,United States,Los Angeles Clippers,TRUE,Male,24/03/1956,Owner,Old,"7,738,692",11810.78,"71,297.95"
12,Michael Bloomberg,80,82000000000,Media & Entertainment,Bloomberg LP,New York,New York,United States,Bloomberg L.P.,TRUE,Male,14/02/1942,CEO,Old,"19,835,913",4133.92,"54,554.98"
15,Mark Zuckerberg,37,67300000000,Technology,Facebook,California,Palo Alto,United States,Meta Platforms,TRUE,Male,14/05/1984,Cofounder,Young Adult,"39,237,836",1715.18,"163,694.74"
