Rank,Names,Age,Worth,Work Industry,Company Name,State,City,Country,Organization,Self Made,Gender,Date of Birth,Title,Age Group,Population,Normalised,Area
1,Elon Musk,50,219000000000,Automotive,Tesla,Texas,Austin,United States,Tesla,TRUE,Male,28/06/1971,CEO,Middle Aged Adult,"29,527,941",7416.70,"268,596.46"
2,Jeff Bezos,58,171000000000,Technology,Amazon,Washington,Seattle,United States,Amazon,TRUE,Male,12/01/1964,Entrepreneur,Middle Aged Adult,"7,738,692",22096.76,"71,297.95"
4,Bill Gates,66,129000000000,Technology,Microsoft,Washington,Medina,United States,Bill & Melinda Gates Foundation,TRUE,Male,28/10/1955,Cofounder,Old,"7,738,692",16669.48,"71,297.95"
5,Warren Buffett,91,118000000000,Finance & Investments,Berkshire Hathaway,Nebraska,Omaha,United States,Berkshire Hathaway,TRUE,Male,30/08/1930,CEO,Old,"1,963,692",60090.89,"77,347.81"
6,Larry Page,49,111000000000,Technology,Google,California,Palo Alto,United States,Alphabet,TRUE,Male,26/03/1973,Entrepreneur,Middle Aged Adult,"39,237,836",2828.90,"163,694.74"
7,Sergey Brin,48,107000000000,Technology,Google,California,Los Altos,United States,Alphabet,TRUE,Male,21/08/1973,Board Member,Middle Aged Adult,"39,237,836",2726.96,"163,694.74"
8,Larry Ellison,77,106000000000,Technology,Software,Hawaii,Lanai,United States,Oracle,TRUE,Male,17/08/1944,Founder,Old,"1,441,553",73531.81,"10,931.72"
9,Steve Ballmer,66,91400000000,Technology,Microsoft,Washington,Hunts Point,United States,Los Angeles Clippers,TRUE,Male,24/03/1956,Owner,Old,"7,738,692",11810.78,"71,297.95"
12,Michael Bloomberg,80,82000000000,Media & Entertainment,Bloomberg LP,New York,New York,United States,Bloomberg L.P.,TRUE,Male,14/02/1942,CEO,Old,"19,835,913",4133.92,"54,554.98"
15,Mark Zuckerberg,37,67300000000,Technology,Facebook,California,Palo Alto,United States,Meta Platforms,TRUE,Male,14/05/1984,Cofounder,Young Adult,"39,237,836",1715.18,"163,694.74"
16,Jim Walton,73,66200000000,Fashion & Retail,Walmart,Arkansas,Bentonville,United States,"Arvest Bank Group, Inc.",FALSE,Male,07/06/1948,CEO and Chairman,Old,"3,025,891",21877.85,"53,178.55"
18,Alice Walton,72,65300000000,Fashion & Retail,Walmart,Texas,Fort Worth,United States,Crystal Bridges Museum of American Art,FALSE,Female,07/10/1949,Philanthropist,Old,"29,527,941",2211.46,"268,596.46"
19,Rob Walton,77,65000000000,Fashion & Retail,Walmart,Arkansas,Bentonville,United States,Walmart,FALSE,Male,27/10/1944,Director,Old,"3,025,891",21481.28,"53,178.55"
21,Charles Koch,86,60000000000,Diversified,Koch Industries,Kansas,Wichita,United States,Koch Industries,FALSE,Male,01/11/1935,CEO,Old,"2,934,582",20445.84,"82,278.36"
24,Michael Dell,57,55100000000,Technology,Dell computers,Texas,Austin,United States,Dell Inc.,TRUE,Male,23/02/1965,CEO and Chairman,Middle Aged Adult,"29,527,941",1866.03,"268,596.46"
27,Phil Knight & family,84,47300000000,Fashion & Retail,Nike,Oregon,Hillsboro,United States,Nike,TRUE,Male,24/02/1938,Chairman,Old,"4,246,155",11139.49,"98,378.54"
37,Stephen Schwarzman,75,34800000000,Finance & Investments,Investments,New York,New York,United States,Blackstone Group,TRUE,Male,14/02/1947,CEO and Chairman,Old,"19,835,913",1754.39,"54,554.98"
48,Jim Simons,83,28600000000,Finance & Investments,Hedge Funds,New York,East Setauket,United States,Renaissance Technologies Corp.,TRUE,Male,25/04/1938,Founder,Old,"19,835,913",1441.83,"54,554.98"
53,Ken Griffin,53,27200000000,Finance & Investments,Hedge Funds,Illinois,Chicago,United States,Citadel LLC,TRUE,Male,15/10/1968,CEO and Founder,Middle Aged Adult,"12,671,469",2146.55,"57,913.55"
65,Leonard Lauder,89,23100000000,Fashion & Retail,Estee Lauder,New York,New York,United States,The Estée Lauder Companies,FALSE,Male,19/03/1933,Chairman,Old,"19,835,913",1164.55,"54,554.98"
71,Ray Dalio,72,22000000000,Finance & Investments,Hedge Funds,Connecticut,Greenwich,United States,Bridgewater Associates,TRUE,Male,08/08/1949,Founder,Old,"3,605,597",6101.62,"5,543.41"
75,Abigail Johnson,60,21200000000,Finance & Investments,Money Management,Massachusetts,Milton,United States,Fidelity Investments,FALSE,Female,19/12/1961,CEO and Chairman,Middle Aged Adult,"6,984,723",3035.20,"10,554.39"
76,Rupert Murdoch & family,91,20800000000,Media & Entertainment,Newspapers,New York,New York,United States,News Corp,FALSE,Male,11/03/1931,CEO and Chairman,Old,"19,835,913",1048.60,"54,554.98"
78,Jensen Huang,59,20600000000,Technology,Semiconductors,California,Los Altos,United States,NVIDIA,TRUE,Male,17/02/1963,CEO,Middle Aged Adult,"39,237,836",525.00,"163,694.74"
96,Steve Cohen,65,17400000000,Finance & Investments,Hedge Funds,Connecticut,Greenwich,United States,Point72 Asset Management,TRUE,Male,11/06/1956,Founder,Old,"3,605,597",4825.83,"5,543.41"
98,Harold Hamm & family,76,17200000000,Energy,Oil & Gas,Oklahoma,Oklahoma City,United States,Continental Resources,TRUE,Male,11/12/1945,CEO and Chairman,Old,"3,986,639",4314.41,"69,898.87"
103,David Tepper,64,16700000000,Finance & Investments,Hedge Funds,Florida,Palm Beach,United States,Appaloosa Management,TRUE,Male,11/09/1957,President,Old,"21,781,128",766.72,"65,757.70"
104,"John Menard, Jr.",82,16600000000,Fashion & Retail,Home Improvement Stores,Wisconsin,Eau Claire,United States,Menards,TRUE,Male,22/01/1940,Entrepreneur,Old,"5,895,908",2815.51,"65,496.38"
106,Carl Icahn,86,16500000000,Finance & Investments,Investments,Florida,Indian Creek,United States,Icahn Capital Management,TRUE,Male,16/02/1936,Founder,Old,"21,781,128",757.54,"65,757.70"
110,Laurene Powell Jobs & family,58,16400000000,Technology,Apple,California,Palo Alto,United States,Emerson Collective,FALSE,Female,06/11/1963,Investor,Middle Aged Adult,"39,237,836",417.96,"163,694.74"
112,Donald Bren,89,16200000000,Real Estate,Real Estate,California,Newport Beach,United States,Irvine Company,TRUE,Male,11/05/1932,Chairman,Old,"39,237,836",412.87,"163,694.74"
